REL-X,REL-Y,REL-Z,REL-THETA,ACTION,OBJECT
-0.905735999904,0.0404101122155,0.892000173698,-176.605462828,PickingUpAnObject,RedMetalCup
0.783760285541,0.304214224271,0.863270466741,-19.2285288067,PickingUpAnObject,RedMetalPlate
-0.347981646853,-0.884254034226,0.733261208957,-60.5489529244,PickingUpAnObject,RedMetalPlate
-0.160051831962,-0.865594984643,0.759981033997,154.432919179,PickingUpAnObject,RedMetalCup
-0.402016347253,-0.840713645927,0.733261209249,-119.718383145,PickingUpAnObject,RedMetalPlate
-0.0115249579023,-0.868468065226,0.759990838967,-27.096332184,PickingUpAnObject,RedMetalCup
0.902179298101,0.0230738688284,0.863270456943,-0.213674741855,PickingUpAnObject,RedMetalPlate
0.807288657113,-0.308481139158,0.890000083941,7.74922002636,PickingUpAnObject,RedMetalCup
0.81458897541,-0.384655480464,0.890000104388,22.1160034479,PickingUpAnObject,RedMetalCup
-0.482922971899,-0.870129196058,0.733261229017,-6.36173963604,PickingUpAnObject,RedMetalPlate
0.928096808123,0.178581530636,0.863270453517,-2.75794340578,PickingUpAnObject,RedMetalPlate
-0.15208797851,-0.861619740034,0.7599908147,-27.3414829496,PickingUpAnObject,RedMetalCup
-0.0962249560714,-0.930098485084,0.759990688106,-25.5418684098,PickingUpAnObject,RedMetalCup
0.804615663789,-0.302573133302,0.890000023785,7.78585914299,PickingUpAnObject,RedMetalCup
-0.262250029245,-0.782834627717,0.73326121285,-133.396157226,PickingUpAnObject,RedMetalPlate
0.902074163995,0.0243495194135,0.863270465486,-0.237989662428,PickingUpAnObject,RedMetalPlate
-0.548281619635,-0.849189436317,0.733261239989,-36.8201814113,PickingUpAnObject,RedMetalPlate
-0.00496824357584,-0.820394974617,0.759990776983,-39.3431057222,PickingUpAnObject,RedMetalCup
0.814025935069,-0.384015276409,0.889999992302,22.0292081862,PickingUpAnObject,RedMetalCup
0.923977754362,0.180329624783,0.863260700568,-2.87884671041,PickingUpAnObject,RedMetalPlate
-0.0833853210856,-0.894068784116,0.759990831468,-25.9893960955,PickingUpAnObject,RedMetalCup
0.803262798339,-0.311096403636,0.890000115583,8.23522948532,PickingUpAnObject,RedMetalCup
-0.47506985262,-0.78309003604,0.733261255315,-78.8332379918,PickingUpAnObject,RedMetalPlate
0.901687797388,0.0260221254603,0.863270443528,-0.260937989429,PickingUpAnObject,RedMetalPlate
0.902490943253,0.03122319634,0.863270485321,-0.283123972199,PickingUpAnObject,RedMetalPlate
0.810128190748,-0.405505903708,0.890000072593,19.5643998024,PickingUpAnObject,RedMetalCup
-0.39519944966,-0.898979871505,0.733261218439,-112.745910392,PickingUpAnObject,RedMetalPlate
-0.0722126793004,-0.867856575551,0.759990799821,-26.1804044598,PickingUpAnObject,RedMetalCup
-0.238203036297,-0.806923481457,0.759990841047,-5.88889096736,PickingUpAnObject,RedMetalCup
0.902407739403,0.0256146986418,0.863270442598,-0.253219445647,PickingUpAnObject,RedMetalPlate
-0.0768650445793,-0.626704267719,0.733261208336,-64.902276425,PickingUpAnObject,RedMetalPlate
0.801446748815,-0.313466290945,0.890000054847,8.49744085188,PickingUpAnObject,RedMetalCup
-0.44285902238,-0.848592469322,0.733261225314,4.25307283652,PickingUpAnObject,RedMetalPlate
-0.130599976232,-0.844774871237,0.759990768418,-39.9554059248,PickingUpAnObject,RedMetalCup
0.821064577908,-0.376530766808,0.889990288054,20.8572764438,PickingUpAnObject,RedMetalCup
0.937688788776,0.191172088147,0.863270458105,-3.13440865659,PickingUpAnObject,RedMetalPlate
0.903158469827,0.0313512380127,0.863270518728,-0.303865665814,PickingUpAnObject,RedMetalPlate
-0.386037015106,-0.847048912612,0.733261278525,-103.426850506,PickingUpAnObject,RedMetalPlate
-0.089819030614,-0.894972284903,0.759990828117,-15.5947902353,PickingUpAnObject,RedMetalCup
0.804085756302,-0.31337043695,0.890000070673,8.47991870064,PickingUpAnObject,RedMetalCup
